STATISTICS.packets_TO_BS STATISTICS.DEAD STATISTICS.ALLIVE
21504.00 21505.00 21506.00
21507.00 21508.00 21509.00
21510.00 21511.00 21512.00
21513.00 21514.00 21515.00
21516.00 21517.00 21518.00
21519.00 21520.00 21521.00
21522.00 21523.00 21524.00
21525.00 21526.00 21527.00
21528.00 21529.00 21530.00
21531.00 21532.00 21533.00
21534.00 21535.00 21536.00
21537.00 21538.00 21539.00
21540.00 21541.00 21542.00
21543.00 21544.00 21545.00
21546.00 21547.00 21548.00
21549.00 21550.00 21551.00
21552.00 21553.00 21554.00
21555.00 21556.00 21557.00
21558.00 21559.00 21560.00
21561.00 21562.00 21563.00
21564.00 21565.00 21566.00
21567.00 21568.00 21569.00
21570.00 21571.00 21572.00
21573.00 21574.00 21575.00
21576.00 21577.00 21578.00
21579.00 21580.00 21581.00
21582.00 21583.00 21584.00
21585.00 21586.00 21587.00
21588.00 21589.00 21590.00
21591.00 21592.00 21593.00
21594.00 21595.00 21596.00
21597.00 21598.00 21599.00
21600.00 21601.00 21602.00
21603.00 21604.00 21605.00
21606.00 21607.00 21608.00
21609.00 21610.00 21611.00
21612.00 21613.00 21614.00
21615.00 21616.00 21617.00
21618.00 21619.00 21620.00
21621.00 21622.00 21623.00
21624.00 21625.00 21626.00
21627.00 21628.00 21629.00
21630.00 21631.00 21632.00
21633.00 21634.00 21635.00
21636.00 21637.00 21638.00
21639.00 21640.00 21641.00
21642.00 21643.00 21644.00
21645.00 21646.00 21647.00
21648.00 21649.00 21650.00
21651.00 21652.00 21653.00
21654.00 21655.00 21656.00
21657.00 21658.00 21659.00
21660.00 21661.00 21662.00
21663.00 21664.00 21665.00
21666.00 21667.00 21668.00
21669.00 21670.00 21671.00
21672.00 21673.00 21674.00
21675.00 21676.00 21677.00
21678.00 21679.00 21680.00
21681.00 21682.00 21683.00
21684.00 21685.00 21686.00
21687.00 21688.00 21689.00
21690.00 21691.00 21692.00
21693.00 21694.00 21695.00
21696.00 21697.00 21698.00
21699.00 21700.00 21701.00
21702.00 21703.00 21704.00
21705.00 21706.00 21707.00
21708.00 21709.00 21710.00
21711.00 21712.00 21713.00
21714.00 21715.00 21716.00
21717.00 21718.00 21719.00
21720.00 21721.00 21722.00
21723.00 21724.00 21725.00
21726.00 21727.00 21728.00
21729.00 21730.00 21731.00
21732.00 21733.00 21734.00
21735.00 21736.00 21737.00
21738.00 21739.00 21740.00
21741.00 21742.00 21743.00
21744.00 21745.00 21746.00
21747.00 21748.00 21749.00
21750.00 21751.00 21752.00
21753.00 21754.00 21755.00
21756.00 21757.00 21758.00
21759.00 21760.00 21761.00
21762.00 21763.00 21764.00
21765.00 21766.00 21767.00
21768.00 21769.00 21770.00
21771.00 21772.00 21773.00
21774.00 21775.00 21776.00
21777.00 21778.00 21779.00
21780.00 21781.00 21782.00
21783.00 21784.00 21785.00
21786.00 21787.00 21788.00
21789.00 21790.00 21791.00
21792.00 21793.00 21794.00
21795.00 21796.00 21797.00
21798.00 21799.00 21800.00
21801.00 21802.00 21803.00
21804.00 21805.00 21806.00
21807.00 21808.00 21809.00
21810.00 21811.00 21812.00
21813.00 21814.00 21815.00
21816.00 21817.00 21818.00
21819.00 21820.00 21821.00
21822.00 21823.00 21824.00
21825.00 21826.00 21827.00
21828.00 21829.00 21830.00
21831.00 21832.00 21833.00
21834.00 21835.00 21836.00
21837.00 21838.00 21839.00
21840.00 21841.00 21842.00
21843.00 21844.00 21845.00
21846.00 21847.00 21848.00
21849.00 21850.00 21851.00
21852.00 21853.00 21854.00
21855.00 21856.00 21857.00
21858.00 21859.00 21860.00
21861.00 21862.00 21863.00
21864.00 21865.00 21866.00
21867.00 21868.00 21869.00
21870.00 21871.00 21872.00
21873.00 21874.00 21875.00
21876.00 21877.00 21878.00
21879.00 21880.00 21881.00
21882.00 21883.00 21884.00
21885.00 21886.00 21887.00
21888.00 21889.00 21890.00
21891.00 21892.00 21893.00
21894.00 21895.00 21896.00
21897.00 21898.00 21899.00
21900.00 21901.00 21902.00
21903.00 21904.00 21905.00
21906.00 21907.00 21908.00
21909.00 21910.00 21911.00
21912.00 21913.00 21914.00
21915.00 21916.00 21917.00
21918.00 21919.00 21920.00
21921.00 21922.00 21923.00
21924.00 21925.00 21926.00
21927.00 21928.00 21929.00
21930.00 21931.00 21932.00
21933.00 21934.00 21935.00
21936.00 21937.00 21938.00
21939.00 21940.00 21941.00
21942.00 21943.00 21944.00
21945.00 21946.00 21947.00
21948.00 21949.00 21950.00
21951.00 21952.00 21953.00
21954.00 21955.00 21956.00
21957.00 21958.00 21959.00
21960.00 21961.00 21962.00
21963.00 21964.00 21965.00
21966.00 21967.00 21968.00
21969.00 21970.00 21971.00
21972.00 21973.00 21974.00
21975.00 21976.00 21977.00
21978.00 21979.00 21980.00
21981.00 21982.00 21983.00
21984.00 21985.00 21986.00
21987.00 21988.00 21989.00
21990.00 21991.00 21992.00
21993.00 21994.00 21995.00
21996.00 21997.00 21998.00
21999.00 22000.00 22001.00
22002.00 22003.00 22004.00
22005.00 22006.00 22007.00
22008.00 22009.00 22010.00
22011.00 22012.00 22013.00
22014.00 22015.00 22016.00
22017.00 22018.00 22019.00
22020.00 22021.00 22022.00
22023.00 22024.00 22025.00
22026.00 22027.00 22028.00
22029.00 22030.00 22031.00
22032.00 22033.00 22034.00
22035.00 22036.00 22037.00
22038.00 22039.00 22040.00
22041.00 22042.00 22043.00
22044.00 22045.00 22046.00
22047.00 22048.00 22049.00
22050.00 22051.00 22052.00
22053.00 22054.00 22055.00
22056.00 22057.00 22058.00
22059.00 22060.00 22061.00
22062.00 22063.00 22064.00
22065.00 22066.00 22067.00
22068.00 22069.00 22070.00
22071.00 22072.00 22073.00
22074.00 22075.00 22076.00
22077.00 22078.00 22079.00
22080.00 22081.00 22082.00
22083.00 22084.00 22085.00
22086.00 22087.00 22088.00
22089.00 22090.00 22091.00
22092.00 22093.00 22094.00
22095.00 22096.00 22097.00
22098.00 22099.00 22100.00
22101.00 22102.00 22103.00
22104.00 22105.00 22106.00
22107.00 22108.00 22109.00
22110.00 22111.00 22112.00
22113.00 22114.00 22115.00
22116.00 22117.00 22118.00
22119.00 22120.00 22121.00
22122.00 22123.00 22124.00
22125.00 22126.00 22127.00
22128.00 22129.00 22130.00
22131.00 22132.00 22133.00
22134.00 22135.00 22136.00
22137.00 22138.00 22139.00
22140.00 22141.00 22142.00
22143.00 22144.00 22145.00
22146.00 22147.00 22148.00
22149.00 22150.00 22151.00
22152.00 22153.00 22154.00
22155.00 22156.00 22157.00
22158.00 22159.00 22160.00
22161.00 22162.00 22163.00
22164.00 22165.00 22166.00
22167.00 22168.00 22169.00
22170.00 22171.00 22172.00
22173.00 22174.00 22175.00
22176.00 22177.00 22178.00
22179.00 22180.00 22181.00
22182.00 22183.00 22184.00
22185.00 22186.00 22187.00
22188.00 22189.00 22190.00
22191.00 22192.00 22193.00
22194.00 22195.00 22196.00
22197.00 22198.00 22199.00
22200.00 22201.00 22202.00
22203.00 22204.00 22205.00
22206.00 22207.00 22208.00
22209.00 22210.00 22211.00
22212.00 22213.00 22214.00
22215.00 22216.00 22217.00
22218.00 22219.00 22220.00
22221.00 22222.00 22223.00
22224.00 22225.00 22226.00
22227.00 22228.00 22229.00
22230.00 22231.00 22232.00
22233.00 22234.00 22235.00
22236.00 22237.00 22238.00
22239.00 22240.00 22241.00
22242.00 22243.00 22244.00
22245.00 22246.00 22247.00
22248.00 22249.00 22250.00
22251.00 22252.00 22253.00
22254.00 22255.00 22256.00
22257.00 22258.00 22259.00
22260.00 22261.00 22262.00
22263.00 22264.00 22265.00
22266.00 22267.00 22268.00
22269.00 22270.00 22271.00
22272.00 22273.00 22274.00
22275.00 22276.00 22277.00
22278.00 22279.00 22280.00
22281.00 22282.00 22283.00
22284.00 22285.00 22286.00
22287.00 22288.00 22289.00
22290.00 22291.00 22292.00
22293.00 22294.00 22295.00
22296.00 22297.00 22298.00
22299.00 22300.00 22301.00
22302.00 22303.00 22304.00
22305.00 22306.00 22307.00
22308.00 22309.00 22310.00
22311.00 22312.00 22313.00
22314.00 22315.00 22316.00
22317.00 22318.00 22319.00
22320.00 22321.00 22322.00
22323.00 22324.00 22325.00
22326.00 22327.00 22328.00
22329.00 22330.00 22331.00
22332.00 22333.00 22334.00
22335.00 22336.00 22337.00
22338.00 22339.00 22340.00
22341.00 22342.00 22343.00
22344.00 22345.00 22346.00
22347.00 22348.00 22349.00
22350.00 22351.00 22352.00
22353.00 22354.00 22355.00
22356.00 22357.00 22358.00
22359.00 22360.00 22361.00
22362.00 22363.00 22364.00
22365.00 22366.00 22367.00
22368.00 22369.00 22370.00
22371.00 22372.00 22373.00
22374.00 22375.00 22376.00
22377.00 22378.00 22379.00
22380.00 22381.00 22382.00
22383.00 22384.00 22385.00
22386.00 22387.00 22388.00
22389.00 22390.00 22391.00
22392.00 22393.00 22394.00
22395.00 22396.00 22397.00
22398.00 22399.00 22400.00
22401.00 22402.00 22403.00
22404.00 22405.00 22406.00
22407.00 22408.00 22409.00
22410.00 22411.00 22412.00
22413.00 22414.00 22415.00
22416.00 22417.00 22418.00
22419.00 22420.00 22421.00
22422.00 22423.00 22424.00
22425.00 22426.00 22427.00
22428.00 22429.00 22430.00
22431.00 22432.00 22433.00
22434.00 22435.00 22436.00
22437.00 22438.00 22439.00
22440.00 22441.00 22442.00
22443.00 22444.00 22445.00
22446.00 22447.00 22448.00
22449.00 22450.00 22451.00
22452.00 22453.00 22454.00
22455.00 22456.00 22457.00
22458.00 22459.00 22460.00
22461.00 22462.00 22463.00
22464.00 22465.00 22466.00
22467.00 22468.00 22469.00
22470.00 22471.00 22472.00
22473.00 22474.00 22475.00
22476.00 22477.00 22478.00
22479.00 22480.00 22481.00
22482.00 22483.00 22484.00
22485.00 22486.00 22487.00
22488.00 22489.00 22490.00
22491.00 22492.00 22493.00
22494.00 22495.00 22496.00
22497.00 22498.00 22499.00
22500.00 22501.00 22502.00
22503.00 22504.00 22505.00
22506.00 22507.00 22508.00
22509.00 22510.00 22511.00
22512.00 22513.00 22514.00
22515.00 22516.00 22517.00
22518.00 22519.00 22520.00
22521.00 22522.00 22523.00
22524.00 22525.00 22526.00
22527.00 22528.00 22529.00
22530.00 22531.00 22532.00
22533.00 22534.00 22535.00
22536.00 22537.00 22538.00
22539.00 22540.00 22541.00
22542.00 22543.00 22544.00
22545.00 22546.00 22547.00
22548.00 22549.00 22550.00
22551.00 22552.00 22553.00
22554.00 22555.00 22556.00
22557.00 22558.00 22559.00
22560.00 22561.00 22562.00
22563.00 22564.00 22565.00
22566.00 22567.00 22568.00
22569.00 22570.00 22571.00
22572.00 22573.00 22574.00
22575.00 22576.00 22577.00
22578.00 22579.00 22580.00
22581.00 22582.00 22583.00
22584.00 22585.00 22586.00
22587.00 22588.00 22589.00
22590.00 22591.00 22592.00
22593.00 22594.00 22595.00
22596.00 22597.00 22598.00
22599.00 22600.00 22601.00
22602.00 22603.00 22604.00
22605.00 22606.00 22607.00
22608.00 22609.00 22610.00
22611.00 22612.00 22613.00
22614.00 22615.00 22616.00
22617.00 22618.00 22619.00
22620.00 22621.00 22622.00
22623.00 22624.00 22625.00
22626.00 22627.00 22628.00
22629.00 22630.00 22631.00
22632.00 22633.00 22634.00
22635.00 22636.00 22637.00
22638.00 22639.00 22640.00
22641.00 22642.00 22643.00
22644.00 22645.00 22646.00
22647.00 22648.00 22649.00
22650.00 22651.00 22652.00
22653.00 22654.00 22655.00
22656.00 22657.00 22658.00
22659.00 22660.00 22661.00
22662.00 22663.00 22664.00
22665.00 22666.00 22667.00
22668.00 22669.00 22670.00
22671.00 22672.00 22673.00
22674.00 22675.00 22676.00
22677.00 22678.00 22679.00
22680.00 22681.00 22682.00
22683.00 22684.00 22685.00
22686.00 22687.00 22688.00
22689.00 22690.00 22691.00
22692.00 22693.00 22694.00
22695.00 22696.00 22697.00
22698.00 22699.00 22700.00
22701.00 22702.00 22703.00
22704.00 22705.00 22706.00
22707.00 22708.00 22709.00
22710.00 22711.00 22712.00
22713.00 22714.00 22715.00
22716.00 22717.00 22718.00
22719.00 22720.00 22721.00
22722.00 22723.00 22724.00
22725.00 22726.00 22727.00
22728.00 22729.00 22730.00
22731.00 22732.00 22733.00
22734.00 22735.00 22736.00
22737.00 22738.00 22739.00
22740.00 22741.00 22742.00
22743.00 22744.00 22745.00
22746.00 22747.00 22748.00
22749.00 22750.00 22751.00
22752.00 22753.00 22754.00
22755.00 22756.00 22757.00
22758.00 22759.00 22760.00
22761.00 22762.00 22763.00
22764.00 22765.00 22766.00
22767.00 22768.00 22769.00
22770.00 22771.00 22772.00
22773.00 22774.00 22775.00
22776.00 22777.00 22778.00
22779.00 22780.00 22781.00
22782.00 22783.00 22784.00
22785.00 22786.00 22787.00
22788.00 22789.00 22790.00
22791.00 22792.00 22793.00
22794.00 22795.00 22796.00
22797.00 22798.00 22799.00
22800.00 22801.00 22802.00
22803.00 22804.00 22805.00
22806.00 22807.00 22808.00
22809.00 22810.00 22811.00
22812.00 22813.00 22814.00
22815.00 22816.00 22817.00
22818.00 22819.00 22820.00
22821.00 22822.00 22823.00
22824.00 22825.00 22826.00
22827.00 22828.00 22829.00
22830.00 22831.00 22832.00
22833.00 22834.00 22835.00
22836.00 22837.00 22838.00
22839.00 22840.00 22841.00
22842.00 22843.00 22844.00
22845.00 22846.00 22847.00
22848.00 22849.00 22850.00
22851.00 22852.00 22853.00
22854.00 22855.00 22856.00
22857.00 22858.00 22859.00
22860.00 22861.00 22862.00
22863.00 22864.00 22865.00
22866.00 22867.00 22868.00
22869.00 22870.00 22871.00
22872.00 22873.00 22874.00
22875.00 22876.00 22877.00
22878.00 22879.00 22880.00
22881.00 22882.00 22883.00
22884.00 22885.00 22886.00
22887.00 22888.00 22889.00
22890.00 22891.00 22892.00
22893.00 22894.00 22895.00
22896.00 22897.00 22898.00
22899.00 22900.00 22901.00
22902.00 22903.00 22904.00
22905.00 22906.00 22907.00
22908.00 22909.00 22910.00
22911.00 22912.00 22913.00
22914.00 22915.00 22916.00
22917.00 22918.00 22919.00
22920.00 22921.00 22922.00
22923.00 22924.00 22925.00
22926.00 22927.00 22928.00
22929.00 22930.00 22931.00
22932.00 22933.00 22934.00
22935.00 22936.00 22937.00
22938.00 22939.00 22940.00
22941.00 22942.00 22943.00
22944.00 22945.00 22946.00
22947.00 22948.00 22949.00
22950.00 22951.00 22952.00
22953.00 22954.00 22955.00
22956.00 22957.00 22958.00
22959.00 22960.00 22961.00
22962.00 22963.00 22964.00
22965.00 22966.00 22967.00
22968.00 22969.00 22970.00
22971.00 22972.00 22973.00
22974.00 22975.00 22976.00
22977.00 22978.00 22979.00
22980.00 22981.00 22982.00
22983.00 22984.00 22985.00
22986.00 22987.00 22988.00
22989.00 22990.00 22991.00
22992.00 22993.00 22994.00
22995.00 22996.00 22997.00
22998.00 22999.00 23000.00
23001.00 23002.00 23003.00
23004.00 23005.00 23006.00
23007.00 23008.00 23009.00
23010.00 23011.00 23012.00
23013.00 23014.00 23015.00
23016.00 23017.00 23018.00
23019.00 23020.00 23021.00
23022.00 23023.00 23024.00
23025.00 23026.00 23027.00
23028.00 23029.00 23030.00
23031.00 23032.00 23033.00
23034.00 23035.00 23036.00
23037.00 23038.00 23039.00
23040.00 23041.00 23042.00
23043.00 23044.00 23045.00
23046.00 23047.00 23048.00
23049.00 23050.00 23051.00
23052.00 23053.00 23054.00
23055.00 23056.00 23057.00
23058.00 23059.00 23060.00
23061.00 23062.00 23063.00
23064.00 23065.00 23066.00
23067.00 23068.00 23069.00
23070.00 23071.00 23072.00
23073.00 23074.00 23075.00
23076.00 23077.00 23078.00
23079.00 23080.00 23081.00
23082.00 23083.00 23084.00
23085.00 23086.00 23087.00
23088.00 23089.00 23090.00
23091.00 23092.00 23093.00
23094.00 23095.00 23096.00
23097.00 23098.00 23099.00
23100.00 23101.00 23102.00
23103.00 23104.00 23105.00
23106.00 23107.00 23108.00
23109.00 23110.00 23111.00
23112.00 23113.00 23114.00
23115.00 23116.00 23117.00
23118.00 23119.00 23120.00
23121.00 23122.00 23123.00
23124.00 23125.00 23126.00
23127.00 23128.00 23129.00
23130.00 23131.00 23132.00
23133.00 23134.00 23135.00
23136.00 23137.00 23138.00
23139.00 23140.00 23141.00
23142.00 23143.00 23144.00
23145.00 23146.00 23147.00
23148.00 23149.00 23150.00
23151.00 23152.00 23153.00
23154.00 23155.00 23156.00
23157.00 23158.00 23159.00
23160.00 23161.00 23162.00
23163.00 23164.00 23165.00
23166.00 23167.00 23168.00
23169.00 23170.00 23171.00
23172.00 23173.00 23174.00
23175.00 23176.00 23177.00
23178.00 23179.00 23180.00
23181.00 23182.00 23183.00
23184.00 23185.00 23186.00
23187.00 23188.00 23189.00
23190.00 23191.00 23192.00
23193.00 23194.00 23195.00
23196.00 23197.00 23198.00
23199.00 23200.00 23201.00
23202.00 23203.00 23204.00
23205.00 23206.00 23207.00
23208.00 23209.00 23210.00
23211.00 23212.00 23213.00
23214.00 23215.00 23216.00
23217.00 23218.00 23219.00
23220.00 23221.00 23222.00
23223.00 23224.00 23225.00
23226.00 23227.00 23228.00
23229.00 23230.00 23231.00
23232.00 23233.00 23234.00
23235.00 23236.00 23237.00
23238.00 23239.00 23240.00
23241.00 23242.00 23243.00
23244.00 23245.00 23246.00
23247.00 23248.00 23249.00
23250.00 23251.00 23252.00
23253.00 23254.00 23255.00
23256.00 23257.00 23258.00
23259.00 23260.00 23261.00
23262.00 23263.00 23264.00
23265.00 23266.00 23267.00
23268.00 23269.00 23270.00
23271.00 23272.00 23273.00
23274.00 23275.00 23276.00
23277.00 23278.00 23279.00
23280.00 23281.00 23282.00
23283.00 23284.00 23285.00
23286.00 23287.00 23288.00
23289.00 23290.00 23291.00
23292.00 23293.00 23294.00
23295.00 23296.00 23297.00
23298.00 23299.00 23300.00
23301.00 23302.00 23303.00
23304.00 23305.00 23306.00
23307.00 23308.00 23309.00
23310.00 23311.00 23312.00
23313.00 23314.00 23315.00
23316.00 23317.00 23318.00
23319.00 23320.00 23321.00
23322.00 23323.00 23324.00
23325.00 23326.00 23327.00
23328.00 23329.00 23330.00
23331.00 23332.00 23333.00
23334.00 23335.00 23336.00
23337.00 23338.00 23339.00
23340.00 23341.00 23342.00
23343.00 23344.00 23345.00
23346.00 23347.00 23348.00
23349.00 23350.00 23351.00
23352.00 23353.00 23354.00
23355.00 23356.00 23357.00
23358.00 23359.00 23360.00
23361.00 23362.00 23363.00
23364.00 23365.00 23366.00
23367.00 23368.00 23369.00
23370.00 23371.00 23372.00
23373.00 23374.00 23375.00
23376.00 23377.00 23378.00
23379.00 23380.00 23381.00
23382.00 23383.00 23384.00
23385.00 23386.00 23387.00
23388.00 23389.00 23390.00
23391.00 23392.00 23393.00
23394.00 23395.00 23396.00
23397.00 23398.00 23399.00
23400.00 23401.00 23402.00
23403.00 23404.00 23405.00
23406.00 23407.00 23408.00
23409.00 23410.00 23411.00
23412.00 23413.00 23414.00
23415.00 23416.00 23417.00
23418.00 23419.00 23420.00
23421.00 23422.00 23423.00
23424.00 23425.00 23426.00
23427.00 23428.00 23429.00
23430.00 23431.00 23432.00
23433.00 23434.00 23435.00
23436.00 23437.00 23438.00
23439.00 23440.00 23441.00
23442.00 23443.00 23444.00
23445.00 23446.00 23447.00
23448.00 23449.00 23450.00
23451.00 23452.00 23453.00
23454.00 23455.00 23456.00
23457.00 23458.00 23459.00
23460.00 23461.00 23462.00
23463.00 23464.00 23465.00
23466.00 23467.00 23468.00
23469.00 23470.00 23471.00
23472.00 23473.00 23474.00
23475.00 23476.00 23477.00
23478.00 23479.00 23480.00
23481.00 23482.00 23483.00
23484.00 23485.00 23486.00
23487.00 23488.00 23489.00
23490.00 23491.00 23492.00
23493.00 23494.00 23495.00
23496.00 23497.00 23498.00
23499.00 23500.00 23501.00
23502.00 23503.00 23504.00
23505.00 23506.00 23507.00
23508.00 23509.00 23510.00
23511.00 23512.00 23513.00
23514.00 23515.00 23516.00
23517.00 23518.00 23519.00
23520.00 23521.00 23522.00
23523.00 23524.00 23525.00
23526.00 23527.00 23528.00
23529.00 23530.00 23531.00
23532.00 23533.00 23534.00
23535.00 23536.00 23537.00
23538.00 23539.00 23540.00
23541.00 23542.00 23543.00
23544.00 23545.00 23546.00
23547.00 23548.00 23549.00
23550.00 23551.00 23552.00
23553.00 23554.00 23555.00
23556.00 23557.00 23558.00
23559.00 23560.00 23561.00
23562.00 23563.00 23564.00
23565.00 23566.00 23567.00
23568.00 23569.00 23570.00
23571.00 23572.00 23573.00
23574.00 23575.00 23576.00
23577.00 23578.00 23579.00
23580.00 23581.00 23582.00
23583.00 23584.00 23585.00
23586.00 23587.00 23588.00
23589.00 23590.00 23591.00
23592.00 23593.00 23594.00
23595.00 23596.00 23597.00
23598.00 23599.00 23600.00
23601.00 23602.00 23603.00
23604.00 23605.00 23606.00
23607.00 23608.00 23609.00
23610.00 23611.00 23612.00
23613.00 23614.00 23615.00
23616.00 23617.00 23618.00
23619.00 23620.00 23621.00
23622.00 23623.00 23624.00
23625.00 23626.00 23627.00
23628.00 23629.00 23630.00
23631.00 23632.00 23633.00
23634.00 23635.00 23636.00
23637.00 23638.00 23639.00
23640.00 23641.00 23642.00
23643.00 23644.00 23645.00
23646.00 23647.00 23648.00
23649.00 23650.00 23651.00
23652.00 23653.00 23654.00
23655.00 23656.00 23657.00
23658.00 23659.00 23660.00
23661.00 23662.00 23663.00
23664.00 23665.00 23666.00
23667.00 23668.00 23669.00
23670.00 23671.00 23672.00
23673.00 23674.00 23675.00
23676.00 23677.00 23678.00
23679.00 23680.00 23681.00
23682.00 23683.00 23684.00
23685.00 23686.00 23687.00
23688.00 23689.00 23690.00
23691.00 23692.00 23693.00
23694.00 23695.00 23696.00
23697.00 23698.00 23699.00
23700.00 23701.00 23702.00
23703.00 23704.00 23705.00
23706.00 23707.00 23708.00
23709.00 23710.00 23711.00
23712.00 23713.00 23714.00
23715.00 23716.00 23717.00
23718.00 23719.00 23720.00
23721.00 23722.00 23723.00
23724.00 23725.00 23726.00
23727.00 23728.00 23729.00
23730.00 23731.00 23732.00
23733.00 23734.00 23735.00
23736.00 23737.00 23738.00
23739.00 23740.00 23741.00
23742.00 23743.00 23744.00
23745.00 23746.00 23747.00
23748.00 23749.00 23750.00
23751.00 23752.00 23753.00
23754.00 23755.00 23756.00
23757.00 23758.00 23759.00
23760.00 23761.00 23762.00
23763.00 23764.00 23765.00
23766.00 23767.00 23768.00
23769.00 23770.00 23771.00
23772.00 23773.00 23774.00
23775.00 23776.00 23777.00
23778.00 23779.00 23780.00
23781.00 23782.00 23783.00
23784.00 23785.00 23786.00
23787.00 23788.00 23789.00
23790.00 23791.00 23792.00
23793.00 23794.00 23795.00
23796.00 23797.00 23798.00
23799.00 23800.00 23801.00
23802.00 23803.00 23804.00
23805.00 23806.00 23807.00
23808.00 23809.00 23810.00
23811.00 23812.00 23813.00
23814.00 23815.00 23816.00
23817.00 23818.00 23819.00
23820.00 23821.00 23822.00
23823.00 23824.00 23825.00
23826.00 23827.00 23828.00
23829.00 23830.00 23831.00
23832.00 23833.00 23834.00
23835.00 23836.00 23837.00
23838.00 23839.00 23840.00
23841.00 23842.00 23843.00
23844.00 23845.00 23846.00
23847.00 23848.00 23849.00
23850.00 23851.00 23852.00
23853.00 23854.00 23855.00
23856.00 23857.00 23858.00
23859.00 23860.00 23861.00
23862.00 23863.00 23864.00
23865.00 23866.00 23867.00
23868.00 23869.00 23870.00
23871.00 23872.00 23873.00
23874.00 23875.00 23876.00
23877.00 23878.00 23879.00
23880.00 23881.00 23882.00
23883.00 23884.00 23885.00
23886.00 23887.00 23888.00
23889.00 23890.00 23891.00
23892.00 23893.00 23894.00
23895.00 23896.00 23897.00
23898.00 23899.00 23900.00
23901.00 23902.00 23903.00
23904.00 23905.00 23906.00
23907.00 23908.00 23909.00
23910.00 23911.00 23912.00
23913.00 23914.00 23915.00
23916.00 23917.00 23918.00
23919.00 23920.00 23921.00
23922.00 23923.00 23924.00
23925.00 23926.00 23927.00
23928.00 23929.00 23930.00
23931.00 23932.00 23933.00
23934.00 23935.00 23936.00
23937.00 23938.00 23939.00
23940.00 23941.00 23942.00
23943.00 23944.00 23945.00
23946.00 23947.00 23948.00
23949.00 23950.00 23951.00
23952.00 23953.00 23954.00
23955.00 23956.00 23957.00
23958.00 23959.00 23960.00
23961.00 23962.00 23963.00
23964.00 23965.00 23966.00
23967.00 23968.00 23969.00
23970.00 23971.00 23972.00
23973.00 23974.00 23975.00
23976.00 23977.00 23978.00
23979.00 23980.00 23981.00
23982.00 23983.00 23984.00
23985.00 23986.00 23987.00
23988.00 23989.00 23990.00
23991.00 23992.00 23993.00
23994.00 23995.00 23996.00
23997.00 23998.00 23999.00
24000.00 24001.00 24002.00
24003.00 24004.00 24005.00
24006.00 24007.00 24008.00
24009.00 24010.00 24011.00
24012.00 24013.00 24014.00
24015.00 24016.00 24017.00
24018.00 24019.00 24020.00
24021.00 24022.00 24023.00
24024.00 24025.00 24026.00
24027.00 24028.00 24029.00
24030.00 24031.00 24032.00
24033.00 24034.00 24035.00
24036.00 24037.00 24038.00
24039.00 24040.00 24041.00
24042.00 24043.00 24044.00
24045.00 24046.00 24047.00
24048.00 24049.00 24050.00
24051.00 24052.00 24053.00
24054.00 24055.00 24056.00
24057.00 24058.00 24059.00
24060.00 24061.00 24062.00
24063.00 24064.00 24065.00
24066.00 24067.00 24068.00
24069.00 24070.00 24071.00
24072.00 24073.00 24074.00
24075.00 24076.00 24077.00
24078.00 24079.00 24080.00
24081.00 24082.00 24083.00
24084.00 24085.00 24086.00
24087.00 24088.00 24089.00
24090.00 24091.00 24092.00
24093.00 24094.00 24095.00
24096.00 24097.00 24098.00
24099.00 24100.00 24101.00
24102.00 24103.00 24104.00
24105.00 24106.00 24107.00
24108.00 24109.00 24110.00
24111.00 24112.00 24113.00
24114.00 24115.00 24116.00
24117.00 24118.00 24119.00
24120.00 24121.00 24122.00
24123.00 24124.00 24125.00
24126.00 24127.00 24128.00
24129.00 24130.00 24131.00
24132.00 24133.00 24134.00
24135.00 24136.00 24137.00
24138.00 24139.00 24140.00
24141.00 24142.00 24143.00
24144.00 24145.00 24146.00
24147.00 24148.00 24149.00
24150.00 24151.00 24152.00
24153.00 24154.00 24155.00
24156.00 24157.00 24158.00
24159.00 24160.00 24161.00
24162.00 24163.00 24164.00
24165.00 24166.00 24167.00
24168.00 24169.00 24170.00
24171.00 24172.00 24173.00
24174.00 24175.00 24176.00
24177.00 24178.00 24179.00
24180.00 24181.00 24182.00
24183.00 24184.00 24185.00
24186.00 24187.00 24188.00
24189.00 24190.00 24191.00
24192.00 24193.00 24194.00
24195.00 24196.00 24197.00
24198.00 24199.00 24200.00
24201.00 24202.00 24203.00
24204.00 24205.00 24206.00
24207.00 24208.00 24209.00
24210.00 24211.00 24212.00
24213.00 24214.00 24215.00
24216.00 24217.00 24218.00
24219.00 24220.00 24221.00
24222.00 24223.00 24224.00
24225.00 24226.00 24227.00
24228.00 24229.00 24230.00
24231.00 24232.00 24233.00
24234.00 24235.00 24236.00
24237.00 24238.00 24239.00
24240.00 24241.00 24242.00
24243.00 24244.00 24245.00
24246.00 24247.00 24248.00
24249.00 24250.00 24251.00
24252.00 24253.00 24254.00
24255.00 24256.00 24257.00
24258.00 24259.00 24260.00
24261.00 24262.00 24263.00
24264.00 24265.00 24266.00
24267.00 24268.00 24269.00
24270.00 24271.00 24272.00
24273.00 24274.00 24275.00
24276.00 24277.00 24278.00
24279.00 24280.00 24281.00
24282.00 24283.00 24284.00
24285.00 24286.00 24287.00
24288.00 24289.00 24290.00
24291.00 24292.00 24293.00
